C.D.S.  -  SIMBAD4 rel 1.8  -  2025.01.29CET17:13:11

Number of objects : 9018

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |  Mag U  |  Mag B  |  Mag V  |  Mag R  |  Mag I  |     spec. type      |#bib |#not
----|-----------------------------------|---|---------------------------------------|---------|---------|---------|---------|---------|---------------------|-----|----
1   |HD 200253                          |*  |21 01 12.8647634688 +36 01 33.642578532|     ~   |7.000    |5.997    |     ~   |     ~   |G5III                |  29 |   0
2   |* 61 Cyg B                         |PM*|21 06 55.2638444466 +38 44 31.358519864|8.63     |7.40     |6.03     |4.86     |3.55     |K7V                  | 740 |   0
3   |* tau Cyg                          |dS*|21 14 47.49252 +38 02 43.1441          |4.140    |4.120    |3.730    |3.38     |3.14     |F2IV                 | 287 |   0
4   |* 61 Cyg A                         |BY*|21 06 53.9395895022 +38 44 57.902349973|7.50     |6.39     |5.21     |4.19     |3.54     |K5V                  |1059 |   0
5   |* sig Cyg                          |s*b|21 17 24.9522700076 +39 23 40.847039148|3.98     |4.37     |4.24     |4.06     |3.92     |B9Iab                | 269 |   0
6   |V* V1334 Cyg                       |cC*|21 19 22.1791528656 +38 14 14.868825648|     ~   |6.364    |5.882    |     ~   |     ~   |F1II+B7.0V           | 203 |   0
7   |* 74 Cyg                           |*  |21 36 56.9752120080 +40 24 48.692268180|     ~   |5.220    |5.035    |     ~   |     ~   |A3Vn                 |  82 |   0
8   |HD 206749                          |V* |21 43 06.4713509160 +41 09 17.902709244|     ~   |7.106    |5.505    |     ~   |     ~   |M2IIIbCa1            |  41 |   0
9   |HD 207673                          |*  |21 49 40.0940581200 +41 08 55.633325604|6.97     |6.90     |6.48     |     ~   |     ~   |A2Ib                 |  84 |   0
10  |* 77 Cyg                           |SB*|21 42 22.9588733 +41 04 37.273655      |     ~   |5.777    |5.726    |     ~   |     ~   |A0V+A0V              | 118 |   0
